Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Nicoll Highway,2024,7,1,    11.8,     8.4,    11.4,    11.8,-,-,-,-,-
Nicoll Highway,2024,7,2,     1.0,     0.4,     0.6,     1.0,-,-,-,-,-
Nicoll Highway,2024,7,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,6,     1.2,     0.8,     0.8,     0.8,-,-,-,-,-
Nicoll Highway,2024,7,7,     5.0,     3.2,     3.8,     3.8,-,-,-,-,-
Nicoll Highway,2024,7,8,     6.8,     2.8,     4.8,     5.8,-,-,-,-,-
Nicoll Highway,2024,7,9,     1.2,     0.4,     0.6,     1.0,-,-,-,-,-
Nicoll Highway,2024,7,10,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Nicoll Highway,2024,7,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,12,     7.4,     4.6,     6.0,     6.2,-,-,-,-,-
Nicoll Highway,2024,7,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,14,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Nicoll Highway,2024,7,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,19,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Nicoll Highway,2024,7,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,7,31,     9.6,     7.0,     7.0,     7.0,-,-,-,-,-
