Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sentosa Island,2024,9,1,0,0,0,0,29.8,33.5,27.5,-,-
Sentosa Island,2024,9,2,0,0,0,0,30,33.8,27.9,-,-
Sentosa Island,2024,9,3,24.5,17,21,24.5,29,31.6,25.2,-,-
Sentosa Island,2024,9,4,26.8,15.6,19.2,23,27.4,29.5,23.9,-,-
Sentosa Island,2024,9,5,0,0,0,0,28.8,32.4,26.3,-,-
Sentosa Island,2024,9,6,0,0,0,0,29.5,33.3,27.5,-,-
Sentosa Island,2024,9,7,0,0,0,0,29.4,32.3,28,-,-
Sentosa Island,2024,9,8,19.6,16.8,19.6,19.6,28.3,31.9,23.8,-,-
Sentosa Island,2024,9,9,1,0.6,0.6,0.6,27.8,31.1,26.5,-,-
Sentosa Island,2024,9,10,14,7.8,9,11.6,27.9,30.3,24.5,-,-
Sentosa Island,2024,9,11,0,0,0,0,29.1,32.4,27.6,-,-
Sentosa Island,2024,9,12,5.2,3.8,4.8,5.2,28.1,30.9,24.2,-,-
Sentosa Island,2024,9,13,0,0,0,0,29.2,31.7,27.8,-,-
Sentosa Island,2024,9,14,44,20.6,34.8,42.2,27.7,31.6,23.4,-,-
Sentosa Island,2024,9,15,6,3.2,3.2,4.8,27.4,29.9,25.5,-,-
Sentosa Island,2024,9,16,0,0,0,0,29,32.3,26.7,-,-
Sentosa Island,2024,9,17,9.6,8.8,9.4,9.4,29.2,32.6,24.3,-,-
Sentosa Island,2024,9,18,0,0,0,0.2,29.2,32.3,27.4,-,-
Sentosa Island,2024,9,19,0,0,0,0,29.4,32.1,27.9,-,-
Sentosa Island,2024,9,20,9,8.6,8.6,8.6,29.3,32.7,24,-,-
Sentosa Island,2024,9,21,13.2,10,12.4,18.6,27.7,31.4,24.1,-,-
Sentosa Island,2024,9,22,0,0,0,0,30.2,34.4,27.5,-,-
Sentosa Island,2024,9,23,0,0,0,0,29.8,34.4,28.5,-,-
Sentosa Island,2024,9,24,11,8,10.8,11,28,31,25,-,-
Sentosa Island,2024,9,25,2.2,2,2.2,2.2,27.9,32.2,25.3,-,-
Sentosa Island,2024,9,26,7.4,1.6,2.8,4.2,26.9,28.8,24.2,-,-
Sentosa Island,2024,9,27,1,1,1,1,28.6,32.2,25.9,-,-
Sentosa Island,2024,9,28,0,0,0,0,28.9,33.4,26.3,-,-
Sentosa Island,2024,9,29,0,0,0,0,29.2,33,27,-,-
Sentosa Island,2024,9,30,0.2,0.2,0.2,0.2,28.6,31.9,26.2,-,-
